书名,别名,链接,信息,评分,评分人数,描述
献给阿尔吉侬的花束,Flowers for Algernon,https://book.douban.com/subject/26362836/,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,9.1,53524,当声称能改造智能的科学实验选中心智障碍主角
鼠疫,La Peste,https://book.douban.com/subject/24257229/,[法] 阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元,9.0,50669,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
目送,目送,https://book.douban.com/subject/3995526/,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,8.6,202578,不必追
呼兰河传:1947年版本・原版珍藏, : 1947年版本・原版珍藏 ,https://book.douban.com/subject/1060852/,萧红 / 百花文艺出版社 / 2005-01 / 19.00,8.9,73524,萧红的童年往事
斯通纳,Stoner,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,8.8,50343,即使不能拥有完美的生活，所幸追求过完整的自我
最好的告别:关于衰老与死亡，你必须知道的常识, : 关于衰老与死亡，你必须知道的常识 ,https://book.douban.com/subject/26576861/,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / 54.90元,9.0,39453,关于衰老与死亡，你必须知道的常识
人生的枷锁,Of Human Bondage,https://book.douban.com/subject/2035171/,[英] 毛姆 / 张柏然 / 上海译文出版社 / 2007-3 / 32.00元,9.0,26311,在混沌纷扰的生活漩流中，寻求人生的真谛
情书,ラヴレター,https://book.douban.com/subject/1080370/,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,99729,一场同名同姓的误会，两段可贵的爱情
亲爱的安德烈,亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.6,116171,弭平代沟，跨越文化阻隔
陆犯焉识,陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.8,52019,翻手为苍凉，覆手为繁华
史蒂夫·乔布斯传,Steve Jobs: A Biography,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.7,55861,完美主义者的最高形态
一个叫欧维的男人决定去死,En man som heter Ove,https://book.douban.com/subject/26672693/,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.0,51342,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
孩子你慢慢来,孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.7,73732,我们现在怎样做母亲
不能承受的生命之轻,Nesnesitelná lehkost bytí,https://book.douban.com/subject/1017143/,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.5,211926,隐喻式的哲学思考，人的悲欢离合的生命历程
倾城之恋,倾城之恋,https://book.douban.com/subject/1985223/,张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元,8.7,46716,“一对平凡的夫妻”之间的“一点真心”
离开的，留下的:那不勒斯四部曲3, : 那不勒斯四部曲3 ,https://book.douban.com/subject/27104959/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-10 / 62.00元,8.8,54677,探索中年的虚无、困惑、野心和近乎残暴的爱
王尔德童话,The tales of Oscar Wilde,https://book.douban.com/subject/1119839/,[英] 王尔德 / 王林 / 译林出版社 / 2003-6 / 6.00元,9.1,20619,一颗纯美纯善、永难泯灭的童心
你当像鸟飞往你的山,Educated:A Memoir,https://book.douban.com/subject/33440205/,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,8.7,137233,我来自一个极少有人能想象的家庭，教育给了我新世界
十万个为什么,十万个为什么,https://book.douban.com/subject/2160556/,少年儿童出版社 / 1962 / 30.00元,9.1,15716,
海的女儿,海的女儿,https://book.douban.com/subject/1765512/,安徒生 / 叶君健 / 上海译文出版社 / 1978年6月 / 0.43,9.1,18115,
九州·缥缈录,九州·缥缈录,https://book.douban.com/subject/1321017/,江南 / 新世界出版社 / 2005-6 / 20.00元,8.8,29796,乱世的英雄史诗
冬牧场,冬牧场,https://book.douban.com/subject/10522856/,李娟 / 新星出版社 / 2012-6 / 29.80元,9.0,26663,阿勒泰的精灵
万水千山走遍,万水千山走遍,https://book.douban.com/subject/1036490/,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,8.8,41683,从遥远的撒哈拉到敦煌戈壁
孽子,孽子,https://book.douban.com/subject/5337254/,白先勇 / 广西师范大学出版社 / 2010.10 / 46.00元,9.1,31814,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
球状闪电,球状闪电,https://book.douban.com/subject/1192090/,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,70754,量子之外，没有真相
人生的智慧,人生的智慧,https://book.douban.com/subject/3261600/,(德)叔本华 / 韦启昌 / 上海人民出版社 / 2008-10-01 / 28.00元,9.2,26414,对世俗、实用问题深刻而透彻的讨论
叫魂:1768年中国妖术大恐慌, : 1768年中国妖术大恐慌 ,https://book.douban.com/subject/10471333/,[美] 孔飞力 / 陈兼 / 生活·读书·新知三联书店 上海三联书店 / 2012-5 / 38.00元,9.0,24126,1768年中国妖术大恐慌
民主的细节:美国当代政治观察随笔, : 美国当代政治观察随笔 ,https://book.douban.com/subject/3813669/,刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,73376,公民养成手册
苏菲的世界,Sofies verden,https://book.douban.com/subject/2284311/,[挪] 乔斯坦·贾德 / 萧宝森 / 作家出版社 / 2007-10 / 26.00元,8.8,50027,哲学启蒙书
野火集:二十年纪念版, : 二十年纪念版 ,https://book.douban.com/subject/1426971/,龙应台 / 文汇出版社 / 2005-8 / 25.00元,8.8,33449,中国人，你为什么不生气
浮生六记,浮生六记,https://book.douban.com/subject/1088581/,（清）沈复 / 人民文学出版社 / 1999-1 / 38,8.8,62222,苟不记之笔墨，未免有辜彼苍之厚
美的历程,美的历程,https://book.douban.com/subject/3410718/,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,9.2,25092,中国美学经典之作
